"date","code","delta","value"
2005-03-17,RUB,-20000,29902.46999999993
2005-03-18,RUB,-92.8,29809.66999999993
2005-03-20,RUB,-4182.2,25627.46999999993
2005-03-21,RUB,-2000,23627.46999999993
2005-03-22,RUB,-1868,21759.46999999993
2005-03-24,RUB,-204,21555.46999999993
2005-03-25,RUB,-18,21537.46999999993
2005-03-26,RUB,-455,21082.46999999993
2005-03-27,RUB,-2055,19027.46999999993
2005-03-28,RUB,-140,18887.46999999993
2005-03-29,RUB,-380,18507.46999999993
2005-03-30,RUB,-100,18407.46999999993
2005-04-01,RUB,42021,60428.46999999993
2005-04-02,RUB,-29750,30678.46999999993
2005-04-04,RUB,-2940,27738.46999999993
2005-04-05,RUB,-17490,10248.469999999928
2005-04-08,RUB,-1710,8538.469999999928
2005-04-09,RUB,-780,7758.469999999928
2005-04-10,RUB,-635,7123.469999999928
2005-04-11,RUB,-395,6728.469999999928
2005-04-13,RUB,-1805,4923.469999999928
2005-04-17,RUB,-1480,3443.4699999999284
2005-04-18,RUB,-225,3218.4699999999284
2005-04-19,RUB,-70,3148.4699999999284
2005-04-22,RUB,-83,3065.4699999999284
2005-04-24,RUB,-1087,1978.4699999999284
2005-04-25,RUB,-200,1778.4699999999284
2005-04-26,RUB,-245,1533.4699999999284
2005-04-28,RUB,-125,1408.4699999999284
2005-04-29,RUB,41761.86,43170.32999999993
2005-04-30,RUB,-6315,36855.32999999993
2005-05-02,RUB,-429,36426.32999999993
2005-05-03,RUB,-20,36406.32999999993
2005-05-05,RUB,-2281,34125.32999999993
2005-05-06,RUB,-1150,32975.32999999993
2005-05-08,RUB,-10020,22955.32999999993
2005-05-11,RUB,-2678,20277.32999999993
2005-05-12,RUB,-262,20015.32999999993
2005-05-13,RUB,-625,19390.32999999993
2005-05-14,RUB,-2245,17145.32999999993
2005-05-15,RUB,-1290,15855.329999999929
2005-05-16,RUB,-500,15355.329999999929
2005-05-18,RUB,-230,15125.329999999929
2005-05-19,RUB,-250,14875.329999999929
2005-05-20,RUB,-447,14428.329999999929
2005-05-21,RUB,-350,14078.329999999929
2005-05-22,RUB,-2773,11305.329999999929
2005-05-23,RUB,-6800,4505.329999999929
2005-05-24,RUB,-650,3855.329999999929
2005-05-26,RUB,-400,3455.329999999929
2005-05-28,USD,-100,0
2005-05-28,RUB,-550,2905.329999999929
2005-05-31,RUB,-1212,1693.329999999929
2005-06-01,RUB,40603,42296.32999999993
2005-06-02,RUB,-2491,39805.32999999993
2005-06-03,RUB,-190,39615.32999999993
2005-06-04,RUB,-2919,36696.32999999993
2005-06-05,RUB,-352,36344.32999999993
2005-06-06,RUB,-1364,34980.32999999993
2005-06-07,RUB,-1404,33576.32999999993
2005-06-11,RUB,-786,32790.32999999993
2005-06-12,RUB,-1583,31207.32999999993
2005-06-13,RUB,-5266,25941.32999999993
2005-06-18,RUB,-190,25751.32999999993
